"TIME","GEO","AGE","SEX","INDIC_IL","UNIT","Value","Flag and Footnotes"
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Total","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","18 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","Total","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","18 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 28 countries","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","Total","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","18 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 27 countries (2007-2013)","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","Total","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2008","European Union - 15 countries (1995-2004)","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
